ID,Taste,Ambiance,Service,Worth_the_price,Menu_variety,Hygienic,Vegan_options,Smoking_area,Parking,Pet_friendly,Description
REST_001,60,60,65,no,61,65,yes,yes,yes,no,"REST_001의 리뷰는 다음과 같습니다.
- 음식 평점은 좋습니다(60점).
- 분위기 평점은 좋습니다(60점).
- 서비스 평점은 좋습니다(65점).
- 메뉴 다양성 평점은 좋습니다(61점).
- 위생 평점은 좋습니다(65점).
- 가격 대비 가치는 낮습니다.
- 비건 옵션이 있습니다.
- 흡연 구역이 있습니다.
- 주차장이 있습니다.
- 반려동물 동반 가능하지 않습니다.
"
REST_002,75,71,69,no,78,78,no,yes,no,no,"REST_002의 리뷰는 다음과 같습니다.
- 음식 평점은 좋습니다(75점).
- 분위기 평점은 좋습니다(71점).
- 서비스 평점은 좋습니다(69점).
- 메뉴 다양성 평점은 좋습니다(78점).
- 위생 평점은 좋습니다(78점).
- 가격 대비 가치는 낮습니다.
- 비건 옵션이 없습니다.
- 흡연 구역이 있습니다.
- 주차장이 없습니다.
- 반려동물 동반 가능하지 않습니다.
"
REST_003,80,85,79,no,85,85,no,yes,yes,yes,"REST_003의 리뷰는 다음과 같습니다.
- 음식 평점은 매우 좋습니다(80점).
- 분위기 평점은 매우 좋습니다(85점).
- 서비스 평점은 좋습니다(79점).
- 메뉴 다양성 평점은 매우 좋습니다(85점).
- 위생 평점은 매우 좋습니다(85점).
- 가격 대비 가치는 낮습니다.
- 비건 옵션이 없습니다.
- 흡연 구역이 있습니다.
- 주차장이 있습니다.
- 반려동물 동반 가능합니다.
"
REST_004,90,20,90,no,20,50,yes,no,yes,yes,"REST_004의 리뷰는 다음과 같습니다.
- 음식 평점은 매우 좋습니다(90점).
- 분위기 평점은 나쁩니다(20점).
- 서비스 평점은 매우 좋습니다(90점).
- 메뉴 다양성 평점은 나쁩니다(20점).
- 위생 평점은 보통입니다(50점).
- 가격 대비 가치는 낮습니다.
- 비건 옵션이 있습니다.
- 흡연 구역이 없습니다.
- 주차장이 있습니다.
- 반려동물 동반 가능합니다.
"
REST_005,98,98,98,no,98,98,no,no,no,yes,"REST_005의 리뷰는 다음과 같습니다.
- 음식 평점은 매우 좋습니다(98점).
- 분위기 평점은 매우 좋습니다(98점).
- 서비스 평점은 매우 좋습니다(98점).
- 메뉴 다양성 평점은 매우 좋습니다(98점).
- 위생 평점은 매우 좋습니다(98점).
- 가격 대비 가치는 낮습니다.
- 비건 옵션이 없습니다.
- 흡연 구역이 없습니다.
- 주차장이 없습니다.
- 반려동물 동반 가능합니다.
"
REST_006,23,47,50,no,26,28,no,no,yes,no,"REST_006의 리뷰는 다음과 같습니다.
- 음식 평점은 나쁩니다(23점).
- 분위기 평점은 보통입니다(47점).
- 서비스 평점은 보통입니다(50점).
- 메뉴 다양성 평점은 나쁩니다(26점).
- 위생 평점은 나쁩니다(28점).
- 가격 대비 가치는 낮습니다.
- 비건 옵션이 없습니다.
- 흡연 구역이 없습니다.
- 주차장이 있습니다.
- 반려동물 동반 가능하지 않습니다.
"
REST_007,20,20,22,no,40,40,yes,yes,yes,no,"REST_007의 리뷰는 다음과 같습니다.
- 음식 평점은 나쁩니다(20점).
- 분위기 평점은 나쁩니다(20점).
- 서비스 평점은 나쁩니다(22점).
- 메뉴 다양성 평점은 보통입니다(40점).
- 위생 평점은 보통입니다(40점).
- 가격 대비 가치는 낮습니다.
- 비건 옵션이 있습니다.
- 흡연 구역이 있습니다.
- 주차장이 있습니다.
- 반려동물 동반 가능하지 않습니다.
"
REST_008,31,31,21,no,36,36,yes,yes,no,no,"REST_008의 리뷰는 다음과 같습니다.
- 음식 평점은 나쁩니다(31점).
- 분위기 평점은 나쁩니다(31점).
- 서비스 평점은 나쁩니다(21점).
- 메뉴 다양성 평점은 나쁩니다(36점).
- 위생 평점은 나쁩니다(36점).
- 가격 대비 가치는 낮습니다.
- 비건 옵션이 있습니다.
- 흡연 구역이 있습니다.
- 주차장이 없습니다.
- 반려동물 동반 가능하지 않습니다.
"
REST_009,49,49,20,no,26,31,no,no,no,yes,"REST_009의 리뷰는 다음과 같습니다.
- 음식 평점은 보통입니다(49점).
- 분위기 평점은 보통입니다(49점).
- 서비스 평점은 나쁩니다(20점).
- 메뉴 다양성 평점은 나쁩니다(26점).
- 위생 평점은 나쁩니다(31점).
- 가격 대비 가치는 낮습니다.
- 비건 옵션이 없습니다.
- 흡연 구역이 없습니다.
- 주차장이 없습니다.
- 반려동물 동반 가능합니다.
"
REST_010,80,80,80,yes,80,80,no,yes,yes,no,"REST_010의 리뷰는 다음과 같습니다.
- 음식 평점은 매우 좋습니다(80점).
- 분위기 평점은 매우 좋습니다(80점).
- 서비스 평점은 매우 좋습니다(80점).
- 메뉴 다양성 평점은 매우 좋습니다(80점).
- 위생 평점은 매우 좋습니다(80점).
- 가격 대비 가치는 높습니다.
- 비건 옵션이 없습니다.
- 흡연 구역이 있습니다.
- 주차장이 있습니다.
- 반려동물 동반 가능하지 않습니다.
"
REST_011,78,78,78,yes,78,78,yes,yes,yes,no,"REST_011의 리뷰는 다음과 같습니다.
- 음식 평점은 좋습니다(78점).
- 분위기 평점은 좋습니다(78점).
- 서비스 평점은 좋습니다(78점).
- 메뉴 다양성 평점은 좋습니다(78점).
- 위생 평점은 좋습니다(78점).
- 가격 대비 가치는 높습니다.
- 비건 옵션이 있습니다.
- 흡연 구역이 있습니다.
- 주차장이 있습니다.
- 반려동물 동반 가능하지 않습니다.
"
REST_012,80,99,74,yes,80,80,yes,yes,yes,yes,"REST_012의 리뷰는 다음과 같습니다.
- 음식 평점은 매우 좋습니다(80점).
- 분위기 평점은 매우 좋습니다(99점).
- 서비스 평점은 좋습니다(74점).
- 메뉴 다양성 평점은 매우 좋습니다(80점).
- 위생 평점은 매우 좋습니다(80점).
- 가격 대비 가치는 높습니다.
- 비건 옵션이 있습니다.
- 흡연 구역이 있습니다.
- 주차장이 있습니다.
- 반려동물 동반 가능합니다.
"
REST_013,20,90,20,no,54,86,no,yes,no,no,"REST_013의 리뷰는 다음과 같습니다.
- 음식 평점은 나쁩니다(20점).
- 분위기 평점은 매우 좋습니다(90점).
- 서비스 평점은 나쁩니다(20점).
- 메뉴 다양성 평점은 보통입니다(54점).
- 위생 평점은 매우 좋습니다(86점).
- 가격 대비 가치는 낮습니다.
- 비건 옵션이 없습니다.
- 흡연 구역이 있습니다.
- 주차장이 없습니다.
- 반려동물 동반 가능하지 않습니다.
"
REST_014,31,31,21,yes,26,28,yes,yes,yes,yes,"REST_014의 리뷰는 다음과 같습니다.
- 음식 평점은 나쁩니다(31점).
- 분위기 평점은 나쁩니다(31점).
- 서비스 평점은 나쁩니다(21점).
- 메뉴 다양성 평점은 나쁩니다(26점).
- 위생 평점은 나쁩니다(28점).
- 가격 대비 가치는 높습니다.
- 비건 옵션이 있습니다.
- 흡연 구역이 있습니다.
- 주차장이 있습니다.
- 반려동물 동반 가능합니다.
"
REST_015,49,49,20,yes,40,40,no,yes,no,no,"REST_015의 리뷰는 다음과 같습니다.
- 음식 평점은 보통입니다(49점).
- 분위기 평점은 보통입니다(49점).
- 서비스 평점은 나쁩니다(20점).
- 메뉴 다양성 평점은 보통입니다(40점).
- 위생 평점은 보통입니다(40점).
- 가격 대비 가치는 높습니다.
- 비건 옵션이 없습니다.
- 흡연 구역이 있습니다.
- 주차장이 없습니다.
- 반려동물 동반 가능하지 않습니다.
"
